Marital_Status,Kidhome,Teenhome,Education_Level,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,AcceptedCmpOverall
Single,0,0,Master,74927,39,156,17,82,18,20,11,1
Widow,0,0,Master,95766,22,192,17,101,28,31,25,1
Married,0,1,Graduation,59676,46,50,7,57,46,32,2,0
Married,2,2,Graduation,59663,2,0,39,0,62,70,0,1
Single,0,0,Graduation,66230,42,152,15,69,20,12,26,0
Single,0,0,2n Cycle,72469,34,143,14,73,25,16,13,1
Single,0,0,Master,66261,32,150,15,70,18,21,10,0
Together,0,2,Graduation,87568,47,0,14,86,101,60,0,1
Married,0,1,Graduation,68500,22,70,11,78,53,38,8,1
Married,0,2,Master,69326,24,0,23,62,63,56,0,1
Single,0,0,Basic,56813,47,108,15,44,24,11,15,0
Widow,0,0,Graduation,69807,52,151,10,86,26,14,12,1
Together,0,2,2n Cycle,52994,7,0,11,54,55,35,0,1
Single,1,0,Basic,53900,36,37,17,30,15,22,5,0
Single,0,0,Graduation,76978,53,168,16,82,29,14,21,1
Single,0,0,PhD,84535,66,191,16,93,34,16,17,1
Single,1,0,Graduation,64624,39,67,25,28,20,27,9,1
Married,1,1,Master,108853,8,0,45,58,65,102,0,1
Married,1,2,2n Cycle,78446,26,0,32,43,66,78,0,1
Single,0,0,Graduation,57922,36,113,15,63,18,10,9,1
Married,2,1,PhD,106540,29,0,63,0,63,103,0,1
Single,0,0,Graduation,59407,71,108,11,64,18,22,13,1
Single,0,0,Master,79053,24,156,17,83,18,24,11,1
Single,0,0,PhD,88102,57,156,25,87,31,19,16,1
Married,0,2,Graduation,73040,46,0,20,83,80,60,0,0
Married,2,2,Graduation,62137,33,0,47,0,56,81,0,1
Single,1,0,Master,69586,41,70,19,33,30,35,6,0
Married,2,0,Master,72888,63,0,37,0,21,54,0,1
Married,0,2,Graduation,76949,51,0,19,75,79,38,0,1
Single,0,0,Graduation,69337,34,116,13,68,29,10,15,1
Married,1,2,Graduation,43440,31,0,14,26,55,46,0,1
Single,0,0,Graduation,68064,26,138,14,72,23,20,24,1
Single,1,0,Master,113879,54,108,50,46,40,62,10,1
Together,1,1,Graduation,61248,34,0,20,23,43,38,0,1
Widow,1,0,Graduation,92833,6,105,31,50,32,53,9,1
Together,0,0,Graduation,77129,5,149,16,81,18,16,9,1
Single,0,0,Graduation,38365,37,85,10,38,8,9,8,1
Single,0,0,Graduation,70465,30,132,11,82,21,21,20,1
Married,1,2,Graduation,60390,22,0,28,25,60,79,0,1
Married,1,0,Graduation,70037,34,69,34,32,23,38,9,1
Single,0,0,Graduation,41110,65,69,8,47,8,8,12,0
Married,2,0,2n Cycle,74634,53,0,44,0,21,71,0,1
Single,0,0,Graduation,57884,77,130,10,51,15,19,16,0
Together,2,2,Master,93179,46,0,56,0,93,119,0,1
Single,0,0,Master,49606,54,104,8,57,20,11,12,0
Married,2,1,Graduation,86630,5,0,55,0,68,83,0,1
Single,0,0,Graduation,69320,55,144,11,62,25,12,11,1
Married,1,0,Master,67125,14,61,28,41,21,39,6,0
Married,1,1,Graduation,49816,39,0,22,32,43,32,0,0
Single,0,0,PhD,75651,20,163,16,75,20,26,19,1
Widow,0,0,PhD,98549,69,193,11,93,36,24,21,1
Married,0,0,Graduation,57016,50,132,8,63,19,13,7,0
Together,0,0,Graduation,51764,41,111,10,66,19,12,9,1
Together,0,2,Graduation,80856,25,0,17,98,83,66,0,1
Married,0,0,Graduation,61277,43,106,15,58,17,15,16,1
Together,1,2,PhD,91698,14,0,43,52,88,98,0,1
Single,0,0,PhD,98282,35,180,18,95,34,24,27,1
Single,0,0,2n Cycle,45936,15,93,6,45,18,15,10,1
Single,0,0,Graduation,44257,31,97,8,54,16,12,5,1
Single,0,0,Graduation,76079,24,156,20,83,26,18,16,0
Single,0,0,Graduation,58517,51,118,12,74,18,11,10,0
Single,1,0,Graduation,56418,39,52,23,35,14,23,2,0
Together,2,2,PhD,104429,32,0,78,0,104,148,0,1
Single,0,0,Graduation,58982,37,107,14,75,17,11,8,0
Single,0,0,2n Cycle,62164,45,152,18,71,22,15,12,1
Married,1,0,Basic,35827,10,31,9,17,15,18,5,1
Single,0,0,Graduation,61854,57,108,12,58,25,18,11,1
Together,1,1,Graduation,52780,53,0,25,28,28,29,0,0
Single,0,0,Graduation,55395,54,115,10,56,17,19,8,0
Widow,0,0,Graduation,69512,29,141,14,81,21,17,22,1
Married,0,2,Master,99520,38,0,19,106,94,89,0,1
Single,0,0,Graduation,53053,47,113,9,47,17,12,13,0
Single,0,0,Graduation,54978,15,96,8,51,20,10,8,0
Together,0,0,Master,96017,59,191,24,91,38,24,24,1
Married,1,1,Master,74647,16,0,31,26,57,64,0,1
Married,2,1,Graduation,63693,37,0,32,0,50,44,0,0
Married,0,1,Graduation,89500,36,104,15,100,56,55,11,1
Single,0,0,Master,70239,63,106,10,78,21,22,13,1
Single,0,0,2n Cycle,59316,31,97,14,52,19,21,13,0
Single,0,0,Graduation,67483,35,148,16,77,19,16,8,0
Together,1,2,Graduation,86094,36,0,24,42,76,86,0,1
Married,2,0,Graduation,57490,25,0,34,0,13,41,0,1
Single,0,0,Graduation,80166,63,158,14,92,33,16,16,0
Single,0,0,Graduation,40594,34,57,8,34,8,12,3,1
Single,0,0,Master,57769,53,119,13,49,23,13,9,1
Single,0,0,Master,56550,44,124,13,39,19,16,10,1
Married,2,2,PhD,87884,11,0,42,0,89,118,0,1
Married,2,2,2n Cycle,56746,44,0,31,0,54,70,0,0
Together,2,2,Graduation,85064,5,0,43,0,77,110,0,1
Married,0,0,Master,87801,49,159,17,90,28,25,14,0
Single,0,0,Graduation,62780,6,119,6,74,17,16,11,1
Married,0,1,Graduation,59827,43,60,9,58,42,32,5,1
Married,1,1,Graduation,94020,48,0,39,48,69,51,0,1
Married,2,2,Graduation,74475,20,0,42,0,65,92,0,1
Married,0,1,Graduation,69238,41,59,13,69,47,33,6,1
Married,0,1,Graduation,70959,63,92,8,66,66,47,4,0
Married,1,1,PhD,86671,47,0,28,51,50,76,0,1
Married,1,2,2n Cycle,80691,0,0,33,34,81,81,0,1
Single,0,0,PhD,96955,32,198,19,93,31,23,15,1
Single,0,0,Master,56110,40,91,12,50,22,11,15,1
Single,0,0,Graduation,53215,49,109,12,43,18,10,8,0
